Month,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.)
March-2024,572,13440.0,"19,78,353.23"
February-2024,560,12102.67,"18,27,869.35"
January-2024,550,12203.02,"18,41,083.97"
December-2023,522,12020.23,"18,22,949.42"
November-2023,516,11235.29,"17,39,740.61"
October-2023,505,11408.79,"17,15,768.34"
September-2023,492,10555.69,"15,79,133.18"
August-2023,484,10586.02,"15,76,536.56"
July-2023,473,9964.61,"15,33,536.44"
June-2023,458,9335.06,"14,75,464.26"
May-2023,445,9415.19,"14,89,145.44"
April-2023,414,8863.26,"14,15,504.71"
